Method,Accuracy,Macro-F1,Communication (bytes),Rounds,F1_beetle,F1_butterfly,F1_grasshopper,F1_honeybee,F1_moth
Local (Client A),0.7182910547396528,0.6592589019891477,0,0,0.6114649681528662,0.8288973384030418,0.9,0.0,0.9559322033898305
Local (Client B),0.9052069425901201,0.9045843563485763,0,0,0.844106463878327,0.8538011695906432,0.8701754385964913,1.0,0.9548387096774194
Centralized,0.9559412550066756,0.9559721493799799,0,0,0.9391891891891891,0.9315068493150684,0.9290322580645162,1.0,0.9801324503311258
Federated (FedAvg),0.20026702269692923,0.06674082313681869,122598800,10,0.0,0.3337041156840934,0.0,0.0,0.0
